SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
PPIAP36,198.3,1,197.3,160.714982214308,7.32836061635315,2.51e-07,4.36e-03,3.28210871685588e-05,0,1,0,2,242,124,226
ATP5F1BP1,454.7,3.3,451.3,155.880397146365,7.28429570204456,2.55e-07,4.43e-03,3.30407176501268e-05,0,1,2,7,563,331,460
COX5AP2,193.7,2.3,191.3,74.5424651600075,6.21999062545546,2.59e-07,4.50e-03,3.33440424438622e-05,0,2,3,2,266,155,153
HSPD1P8,328.3,0.7,327.7,488.663386679561,8.93269720384442,2.69e-07,4.66e-03,3.43094559692497e-05,0,0,1,1,397,327,259
FTH1P5,5289.3,276,5013.3,18.2006785982963,4.18592033608858,2.78e-07,4.83e-03,3.52425569252078e-05,0,226,261,341,5652,3827,5561
POTEF,12243.3,393.7,11849.7,30.1374566818455,4.91348576705505,2.81e-07,4.88e-03,3.53775562706327e-05,0,388,330,463,13639,6884,15026
PPIAP21,749,5,744,133.959337447341,7.06565133549008,2.92e-07,5.07e-03,3.6228970335508e-05,0,6,7,2,981,479,772
HERPUD1,44143.3,3694,40449.3,10.9495597858504,3.4528009640255,2.92e-07,5.07e-03,3.6228970335508e-05,0,3912,3955,3215,46722,42951,31675
MAFB,14677.7,57,14620.7,252.313022068058,7.97907085660498,2.98e-07,5.17e-03,3.63990954303435e-05,0,38,108,25,12170,10173,21519
VCL,68436.7,61312.7,7124,0.116189567373084,-3.10544755949098,2.99e-07,5.19e-03,3.63990954303435e-05,0,60071,64501,59366,7677,6067,7628
CYGB,202.7,2.7,200,69.9307457358694,6.12785498494165,3.02e-07,5.23e-03,3.63990954303435e-05,0,1,5,2,166,231,203
RPS2P18,387,3,384,121.879347122316,6.92930986676998,3.02e-07,5.23e-03,3.63990954303435e-05,0,1,5,3,450,247,455
EEF1A1P44,403,0.7,402.3,599.37158275282,9.22730687457141,3.10e-07,5.38e-03,3.71312463734967e-05,0,0,2,0,483,319,405
OLFM1,535.3,2.7,532.7,171.376623527985,7.42102652314423,3.20e-07,5.55e-03,3.78440063640467e-05,0,6,0,2,636,597,365
LINC01204,1530.7,1519,11.7,0.00814480574813794,-6.93990399346684,3.20e-07,5.55e-03,3.78440063640467e-05,0,1587,1812,1158,23,3,9
PIK3R5,195.3,1,194.3,159.003125172175,7.31291131142329,3.32e-07,5.76e-03,3.90196846454717e-05,0,1,2,0,239,101,243
RPL27P7,165,2,163,79.1541956042576,6.30659391798555,3.36e-07,5.83e-03,3.92315586219699e-05,0,1,2,3,197,95,197
HSPA1B,15820,1179.7,14640.3,12.4116405270413,3.63362191332129,3.39e-07,5.88e-03,3.92597877843465e-05,0,1028,1347,1164,11190,17795,14936
EEF1A1P16,1665.7,19.7,1646,82.6682369020599,6.36926121308467,3.53e-07,6.12e-03,4.00844864600336e-05,0,22,22,15,2405,1000,1533
RGS2,24866.3,82.7,24783.7,296.31768771674,8.21100093561359,3.53e-07,6.12e-03,4.00844864600336e-05,0,90,114,44,37875,26958,9518
RPL18AP15,871,5,866,178.763271714781,7.48190654398086,3.53e-07,6.12e-03,4.00844864600336e-05,0,2,5,8,846,490,1262
HSPA1A,29295.3,604,28691.3,47.566642185419,5.57187828135182,3.61e-07,6.25e-03,4.07129369927806e-05,0,524,491,797,18064,23011,44999
SYT8,3879.7,2.3,3877.3,1878.52845601096,10.8753872547993,3.68e-07,6.38e-03,4.12723907029492e-05,0,0,2,5,676,3453,7503
CAVIN2,40198,37376.7,2821.3,0.0754660311480442,-3.72802878668906,3.72e-07,6.45e-03,4.14775438761282e-05,0,36271,41683,34176,3402,1948,3114
RANP4,342.7,2.3,340.3,164.718187228792,7.36385604766943,3.76e-07,6.52e-03,4.16251155676165e-05,0,0,2,5,417,207,397
ACTG1P15,1256,23.3,1232.7,52.7032744334807,5.71982069360357,3.79e-07,6.56e-03,4.16580124443446e-05,0,21,27,22,1515,785,1398
FTH1P2,23921,1723.3,22197.7,12.8739346005513,3.68638113999101,3.81e-07,6.61e-03,4.16675062459144e-05,0,1903,1859,1408,26447,16312,23834
PPARG,2745,2557.3,187.7,0.0735059248564964,-3.76599564844361,3.86e-07,6.70e-03,4.19737498880338e-05,0,2649,2802,2221,203,175,185
ADAMTS4,5930,5749.3,180.7,0.0317844353846849,-4.97553572899647,3.94e-07,6.83e-03,4.25487076965203e-05,0,5058,4271,7919,225,202,115
RPS20P10,184,1.3,182.7,122.456559550571,6.93612624564978,4.04e-07,7.00e-03,4.33060392582891e-05,0,0,3,1,239,129,180
ASAP1,16886,15081,1805,0.11973934588321,-3.06203080072347,4.07e-07,7.05e-03,4.33060392582891e-05,0,12820,16824,15599,1888,1814,1713
RPS3AP44,230.7,2.3,228.3,98.3800883864891,6.62029444609307,4.08e-07,7.08e-03,4.33060392582891e-05,0,2,1,4,327,146,212
TMEM45A,352.3,0.7,351.7,521.753092631303,9.0272234365937,4.13e-07,7.15e-03,4.35097723976455e-05,0,0,0,2,395,339,321
CIMAP1C,554.7,1,553.7,451.418652097972,8.8183222200309,4.18e-07,7.23e-03,4.3735426833964e-05,0,3,0,0,249,458,954
FGR,308,1,307,320.770964413442,8.32539974742617,4.25e-07,7.36e-03,4.42517042109185e-05,0,0,0,3,315,227,379
PFN1P11,924.7,0.7,924,1369.22011765082,10.4191386794799,4.35e-07,7.54e-03,4.50640879595939e-05,0,0,0,2,1431,465,876
RPL15P5,276.7,3,273.7,95.0353214350928,6.57039190926119,4.54e-07,7.86e-03,4.66685610197643e-05,0,3,1,5,349,185,287
XDH,114.3,1,113.3,119.4416869799,6.90016263695349,4.56e-07,7.91e-03,4.66987767024083e-05,0,1,2,0,111,104,125
RPL9P21,125.7,1.3,124.3,84.2049564198662,6.39583324969816,4.59e-07,7.96e-03,4.6712046437005e-05,0,2,1,1,187,77,109
HSPA8P5,2625,127.7,2497.3,19.48743177773,4.28447206718295,4.64e-07,8.03e-03,4.68941113648611e-05,0,139,151,93,3072,2185,2235
ACTA1,1112.7,18,1094.7,62.2164101175361,5.9592232487593,4.77e-07,8.27e-03,4.78307927398384e-05,0,13,18,23,1276,695,1313
KLF3-AS1,94.7,2,92.7,52.4685611700149,5.71338132280699,4.78e-07,8.29e-03,4.78307927398384e-05,0,1,2,3,80,110,88
EIF1P7,989,9.7,979.3,96.677438047314,6.59510733707021,4.86e-07,8.41e-03,4.79374947778838e-05,0,15,8,6,1404,788,746
SAT1,23595.7,2370.7,21225,8.94969294155508,3.16183818524896,4.86e-07,8.42e-03,4.79374947778838e-05,0,2644,2632,1836,21163,22320,20192
ENO3,5246.7,127.3,5119.3,40.1179043357431,5.32617433983553,4.88e-07,8.45e-03,4.79374947778838e-05,0,154,99,129,7821,3155,4382
ACTBP8,2466,47,2419,52.2621330609797,5.7076941038487,4.93e-07,8.53e-03,4.81313543598747e-05,0,39,39,63,2854,1336,3067
DNER,16765.3,16300.3,465,0.028757736156483,-5.11990608021327,4.95e-07,8.57e-03,4.81313543598747e-05,0,15066,17626,16209,700,468,227
UBA52P4,685,4.3,680.7,159.126333032053,7.31402878968723,5.03e-07,8.72e-03,4.84199260134123e-05,0,4,2,7,716,362,964
PLEK,747,0.3,746.7,1872.82932968023,10.8710037179094,5.04e-07,8.72e-03,4.84199260134123e-05,0,0,0,1,898,776,566
