SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
KIF18B,0.259452558665342,-1.94645733139228,5.93500949573357,-6.68442503220334,1.41785532210551,1.225e-04,1.000e+00,0.0021026316229725,2
SEC11C,3.55724187082086,1.8307590722267,4.47128636691928,6.68319569547285,1.50150890555859,1.227e-04,1.000e+00,0.0021026316229725,2
SRGAP1,0.275572132620324,-1.85949809277849,7.20084074733163,-6.68270482106191,1.32954050011008,1.227e-04,1.000e+00,0.0021026316229725,2
BTF3P7,12.5684111491788,3.65173037614287,0.0302438246238836,6.68164278951463,1.63815178168623,1.229e-04,1.000e+00,0.00210298348443726,2
RANP5,31.8438652698171,4.99294355850591,-0.491971133798501,6.67657745559647,1.60599487168782,1.235e-04,1.000e+00,0.0021107684871898,2
LIPC,4.7359682201526,2.24365940005849,4.20383316520706,6.67640974596146,1.51331686417698,1.236e-04,1.000e+00,0.0021107684871898,2
CDX2,0.161783666651581,-2.62786213131115,1.54900232322688,-6.67381107008319,1.63770286950521,1.239e-04,1.000e+00,0.00211305437598297,2
ALG1L10P,0.0463241509310065,-4.43209165623891,-2.340465114234,-6.67360127211006,1.47602534778198,1.239e-04,1.000e+00,0.00211305437598297,2
MUC5B,0.0147108907806803,-6.08697158179785,-3.39882990102334,-6.67165773626184,1.46744424236401,1.242e-04,1.000e+00,0.0021154343367475,2
NPAS1,0.0930195538014588,-3.42632217025155,4.91357506391036,-6.66770828153348,1.48793823918283,1.247e-04,1.000e+00,0.00211901739783312,2
ATP5MG,3.72436951034866,1.89699621583484,4.59349795658908,6.66674790755529,1.47524728913314,1.249e-04,1.000e+00,0.00211901739783312,2
TBC1D8,0.219426584600421,-2.18818976901981,5.04963968470187,-6.66664884322524,1.46088075872245,1.249e-04,1.000e+00,0.00211901739783312,2
PIK3R3,5.32935696344141,2.41396146889062,5.44264494444903,6.66649547476672,1.42083953726577,1.249e-04,1.000e+00,0.00211901739783312,2
ADIPOR1P2,18.5781779312753,4.21553711014859,-0.435415643210766,6.6645883132958,1.60264684858734,1.251e-04,1.000e+00,0.00211950213771133,2
UACA,0.302532099183515,-1.72483987191819,6.51772303645729,-6.66449159797665,1.35177231659224,1.252e-04,1.000e+00,0.00211950213771133,2
DOC2A,0.136151596460291,-2.87671419592952,3.23570116128937,-6.66002543097816,1.56445017807625,1.258e-04,1.000e+00,0.00212607534677073,2
KLHL9,56.1272777561652,5.81063018335308,-1.82079873708725,6.65984060668797,1.49661756438734,1.258e-04,1.000e+00,0.00212607534677073,2
ATF4P2,19.2966262185971,4.27027672667234,-2.55406109402173,6.65689756582037,1.44714547565385,1.262e-04,1.000e+00,0.00212923232406693,2
SLC40A1,6.33933343574049,2.66433115274524,2.62302691046484,6.65668536965502,1.5774892286435,1.262e-04,1.000e+00,0.00212923232406693,2
NLRP10,0.00950491212862096,-6.71711099520949,-1.86565100828207,-6.65519395548211,1.49908180198551,1.264e-04,1.000e+00,0.00213061764477956,2
RPL18AP16,21.956892892241,4.4566020086974,-0.841116855204532,6.65176688639048,1.56940797578123,1.269e-04,1.000e+00,0.00213647937981417,2
VDR,0.0182256250909475,-5.77788789373308,-0.250076235758048,-6.64806627723501,1.56212506348996,1.274e-04,1.000e+00,0.00214299706582263,2
PLK1,0.368880270840922,-1.43877546476249,7.72752047408709,-6.64492522644101,1.2490164387635,1.278e-04,1.000e+00,0.00214823699363683,2
PHPT1,4.24666259610155,2.08632948889066,5.90491585101078,6.64320355536356,1.3586940368502,1.281e-04,1.000e+00,0.00215018355721058,2
HLA-K,5.64961346883936,2.4981521656403,2.31179381437629,6.64020569056957,1.57176011082283,1.285e-04,1.000e+00,0.00215359186204762,2
RPL31P4,4.43104480144595,2.14764691371105,2.70768652716219,6.63997358935008,1.55261575435123,1.285e-04,1.000e+00,0.00215359186204762,2
MMP19,0.0566018560525224,-4.14300682799202,0.508224231425844,-6.6373119162697,1.59525831233479,1.289e-04,1.000e+00,0.00215706390598971,2
SLC25A5P8,9.09879725614546,3.18567585220426,1.10335804848604,6.63630414887778,1.6014086962152,1.290e-04,1.000e+00,0.00215706390598971,2
ZHX3,0.30318326847457,-1.72173795600503,5.40577897584296,-6.63584220884377,1.39650950104579,1.291e-04,1.000e+00,0.00215706390598971,2
PMAIP1,3.73245724291659,1.90012573369257,4.72809222345316,6.63393167980809,1.42906729875265,1.294e-04,1.000e+00,0.00215947669769184,2
NDUFB4,3.10401018753062,1.63413329253657,5.89593795529405,6.63091267793206,1.34178057097866,1.298e-04,1.000e+00,0.00216423486927037,2
DHX58,4.87513827429594,2.28544313882368,2.70442168719013,6.62841953086631,1.54077265674371,1.301e-04,1.000e+00,0.00216423486927037,2
WIPF3,0.127610332625668,-2.970182945845,0.94843280100187,-6.6282715953758,1.59401001286832,1.302e-04,1.000e+00,0.00216423486927037,2
FAM167A,0.0553466449472753,-4.17536032470344,0.70275134216504,-6.62817448600727,1.58906341530245,1.302e-04,1.000e+00,0.00216423486927037,2
