id	filename	md5	size	state
91560f1c-88f7-4eaf-8a73-fe2f433f7a86	91560f1c-88f7-4eaf-8a73-fe2f433f7a86/nationwidechildrens.org_clinical.TCGA-FB-A4P5.xml	d2f1d8f424736405a547a25520cfa930	42222	validated
92e916b0-b931-441a-8d32-2110460a5905	92e916b0-b931-441a-8d32-2110460a5905/nationwidechildrens.org_clinical.TCGA-HZ-7926.xml	51f82ff289c484ab0ef88326d1ec23f3	36686	validated
9390a72f-24cf-41f8-ad6a-6cb7727d24bf	9390a72f-24cf-41f8-ad6a-6cb7727d24bf/nationwidechildrens.org_clinical.TCGA-IB-A6UF.xml	cd2765e253691ca0bc205413136a1ada	60556	validated
95df0900-2648-49fd-9251-59d694430031	95df0900-2648-49fd-9251-59d694430031/nationwidechildrens.org_clinical.TCGA-HZ-7918.xml	0cc323de4d3b4d81594787ee85ee6520	93890	validated
977289a1-fa01-4734-90d5-5f846d1cc673	977289a1-fa01-4734-90d5-5f846d1cc673/nationwidechildrens.org_clinical.TCGA-3A-A9IH.xml	935f8d8282082fbf3c2913a17edcbf41	66210	validated
9776854f-3fdd-4ef0-a98c-931dc67bcb96	9776854f-3fdd-4ef0-a98c-931dc67bcb96/nationwidechildrens.org_clinical.TCGA-FB-A78T.xml	5c993c62fff77a6bf89aa37af84d88f8	42395	validated
985275f6-f72a-4277-b74e-7e255a05fb36	985275f6-f72a-4277-b74e-7e255a05fb36/nationwidechildrens.org_clinical.TCGA-2L-AAQA.xml	342874eb9129516853c639eaf209a0f5	42738	validated
99cd4ede-85f4-4aae-bc42-ab9be4ec6636	99cd4ede-85f4-4aae-bc42-ab9be4ec6636/nationwidechildrens.org_clinical.TCGA-2J-AABE.xml	fdfb04c98d9bf7df4c2bc13e261cc0b7	53422	validated
99ead78e-2025-49ca-b3a8-910d6163fd76	99ead78e-2025-49ca-b3a8-910d6163fd76/nationwidechildrens.org_clinical.TCGA-2L-AAQI.xml	0bbbfe01b41848af124aed602d8e87c2	42738	validated
9a414296-35dd-4c7f-a581-5afcc5fa2014	9a414296-35dd-4c7f-a581-5afcc5fa2014/nationwidechildrens.org_clinical.TCGA-IB-7651.xml	d5668f81bdc82f34f78177a99542456c	60918	validated
9bc59041-1ca2-48ca-96bd-0dfbdee2c371	9bc59041-1ca2-48ca-96bd-0dfbdee2c371/nationwidechildrens.org_clinical.TCGA-3A-A9IX.xml	52a76e9e85c15fdb2ade3edbd45fc181	53432	validated
9bce575a-8146-4d77-b7ff-8b969759ae72	9bce575a-8146-4d77-b7ff-8b969759ae72/nationwidechildrens.org_clinical.TCGA-F2-7273.xml	18292c33e193afeafbad21b53a8ebbb6	85770	validated
9db7441a-35d1-40be-8952-cb117f99ea87	9db7441a-35d1-40be-8952-cb117f99ea87/nationwidechildrens.org_clinical.TCGA-2J-AAB8.xml	329f9a7db9f6e24906031d0f335a7f47	42172	validated
a06ac6ce-ca53-454b-981d-79850a3e72fb	a06ac6ce-ca53-454b-981d-79850a3e72fb/nationwidechildrens.org_clinical.TCGA-HZ-8636.xml	29dd10daa954ac71161304bfbe9205c6	36577	validated
a20339ee-d079-4b6c-88df-fb12c0606612	a20339ee-d079-4b6c-88df-fb12c0606612/nationwidechildrens.org_clinical.TCGA-YH-A8SY.xml	d077a4f3bfc53814064a24934251c56a	28245	validated
a211b269-3a00-4acd-8c3b-54b6e559078b	a211b269-3a00-4acd-8c3b-54b6e559078b/nationwidechildrens.org_clinical.TCGA-F2-6880.xml	ad21911b78ca62ae087700a6077e3acb	50511	validated
a41488b6-6915-4bc1-b6d8-d924b2d68c41	a41488b6-6915-4bc1-b6d8-d924b2d68c41/nationwidechildrens.org_clinical.TCGA-2J-AABO.xml	51756da7f8b4685e602cff633d952790	48061	validated
a44c0ae2-9b93-4a45-9a73-5a4a6f521b77	a44c0ae2-9b93-4a45-9a73-5a4a6f521b77/nationwidechildrens.org_clinical.TCGA-IB-A6UG.xml	4b566215f669ff129d6a202beea0a716	36946	validated
