"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","c-1","c-2","c-3","regulated"
"BAK1",21214,19585.6666666667,1628.33333333333,8.03399990696777,0.0830850619238219,-3.5892670753022,"0.0e+00","0.0e+00",0,0,19513,19881,19363,1445,1716,1724,"down"
"BARX1",1907,1907,0,4.53068175193482,6.55489891965665e-05,-13.8970669410126,"0.0e+00","0.0e+00",0,0,2071,2004,1646,0,0,0,"down"
"BAZ1B",6288,682,5606,6.29095883281237,8.22043865234637,3.03921537987775,"0.0e+00","0.0e+00",0,0,724,599,723,5631,5654,5533,"up"
"BAZ2B",1877.33333333333,60.3333333333333,1817,4.57083445023791,30.0502022757946,4.90930279701529,"0.0e+00","0.0e+00",0,0,69,56,56,1817,1819,1815,"up"
"BBX",6489.33333333333,305.666666666667,6183.66666666667,6.3373668969638,20.2260505033819,4.33814273038124,"0.0e+00","0.0e+00",0,0,292,276,349,6186,6267,6098,"up"
"BCAP31",41862.6666666667,37155.3333333333,4707.33333333333,9.01592709908751,0.126670715145702,-2.98084506683685,"0.0e+00","0.0e+00",0,0,38662,36014,36790,4539,4836,4747,"down"
"BCAT1",2108,2048,60,4.67976059885789,0.0293456264038518,-5.09071068595033,"0.0e+00","0.0e+00",0,0,1929,2008,2207,65,60,55,"down"
"BCL10",7991.66666666667,6859,1132.66666666667,6.62283928723002,0.165247378357374,-2.59730071126827,"0.0e+00","0.0e+00",0,0,6455,6976,7146,1181,1130,1087,"down"
"BCL2A1",6044.66666666667,6034.66666666667,10,6.21525450787071,0.00164421729125425,-9.24838331392732,"0.0e+00","0.0e+00",0,0,6120,6138,5846,6,12,12,"down"
"BCL2L1",21549,18322.3333333333,3226.66666666667,8.0570748003245,0.176087189231947,-2.50563814144697,"0.0e+00","0.0e+00",0,0,18413,18454,18100,3248,3101,3331,"down"
"BCLAF1",9250.66666666667,1240.66666666667,8010,6.84470834896645,6.45423196156955,2.69024542842796,"0.0e+00","0.0e+00",0,0,1254,1146,1322,7713,8137,8180,"up"
"BHLHE40",19394.3333333333,15712.3333333333,3682,7.90518224836239,0.234363368418851,-2.09318100435247,"0.0e+00","0.0e+00",0,0,15770,15520,15847,3693,3753,3600,"down"
"BICC1",2487.66666666667,2,2485.66666666667,4.97075539276852,1290.31460065839,10.3335071468023,"0.0e+00","0.0e+00",0,0,6,0,0,2331,2639,2487,"up"
"BIRC3",14088.6666666667,12944.6666666667,1144,7.44240509618947,0.0883669395761098,-3.50034946982629,"0.0e+00","0.0e+00",0,0,13191,12528,13115,1112,1162,1158,"down"
"BIRC6",6828.66666666667,546.666666666667,6282,6.40974082362578,11.4876012798208,3.52200567590122,"0.0e+00","0.0e+00",0,0,482,593,565,6280,6227,6339,"up"
"BLCAP",9711,8093.66666666667,1617.33333333333,6.90512381752467,0.199894655958978,-2.32268819171196,"0.0e+00","0.0e+00",0,0,8207,7978,8096,1655,1608,1589,"down"
"BMERB1",6157.33333333333,5718.66666666667,438.666666666667,6.24361514871216,0.0767358007180739,-3.70395637256628,"0.0e+00","0.0e+00",0,0,5731,5794,5631,454,381,481,"down"
"BMP6",5727.33333333333,5666.66666666667,60.6666666666667,6.13714263577116,0.0107139206747573,-6.54436967019478,"0.0e+00","0.0e+00",0,0,5708,5611,5681,62,56,64,"down"
"BMS1",4530,192.333333333333,4337.66666666667,5.82297571383609,22.5513556837802,4.49514225916525,"0.0e+00","0.0e+00",0,0,201,145,231,4290,4295,4428,"up"
"BOK",2088.66666666667,2077.66666666667,11,4.664830898025,0.00528852572124922,-7.56291868539975,"0.0e+00","0.0e+00",0,0,2120,2129,1984,9,5,19,"down"
"BRD7",5894,956,4938,6.19695265262312,5.1628644151292,2.36817171117516,"0.0e+00","0.0e+00",0,0,942,938,988,4939,4899,4976,"up"
"BRMS1",6292.33333333333,5174.33333333333,1118,6.27733290737382,0.216092622972727,-2.21027827295521,"0.0e+00","0.0e+00",0,0,5028,5190,5305,1129,1106,1119,"down"
"BST2",18143,120.666666666667,18022.3333333333,7.81466747946858,149.240517589039,7.22149545853874,"0.0e+00","0.0e+00",0,0,101,124,137,18351,18103,17613,"up"
"BTAF1",3615.66666666667,451.666666666667,3164,5.49814546101567,7.00787275998067,2.80897658055961,"0.0e+00","0.0e+00",0,0,475,460,420,3158,3109,3225,"up"
"BTN2A2",6284,5300.33333333333,983.666666666667,6.27501708437049,0.185698956591666,-2.42896238582974,"0.0e+00","0.0e+00",0,0,5414,5233,5254,1002,1018,931,"down"
"BUD23",7389,5896.66666666667,1492.33333333333,6.51023463860373,0.253096681183618,-1.98223950514452,"0.0e+00","0.0e+00",0,0,5931,5852,5907,1495,1494,1488,"down"
"C11orf68",12002.6666666667,10656,1346.66666666667,7.21091570316753,0.126327348563661,-2.98476109340249,"0.0e+00","0.0e+00",0,0,10533,11117,10318,1286,1413,1341,"down"
"C14orf132",2597.33333333333,19,2578.33333333333,5.0316905181836,135.448962132776,7.08160552881754,"0.0e+00","0.0e+00",0,0,18,20,19,2616,2521,2598,"up"
"C15orf48",33818.6666666667,33334,484.666666666667,8.70745228579764,0.014532913853515,-6.10453219702035,"0.0e+00","0.0e+00",0,0,34054,32533,33415,466,514,474,"down"
"C1QL1",3152,3120.33333333333,31.6666666666667,5.26747763691481,0.0101988117769117,-6.61545511046157,"0.0e+00","0.0e+00",0,0,3401,3255,2705,34,37,24,"down"
"C1QTNF6",4729,420.333333333333,4308.66666666667,5.88316185402721,10.2525996933658,3.35791786697728,"0.0e+00","0.0e+00",0,0,414,453,394,4353,4241,4332,"up"
"C1R",12483.3333333333,38,12445.3333333333,7.27708075616862,324.122539851712,8.34039554058039,"0.0e+00","0.0e+00",0,0,37,40,37,12872,12455,12009,"up"
"C1S",15385.6666666667,14.3333333333333,15371.3333333333,7.57758487721683,1091.5094937859,10.0921089633905,"0.0e+00","0.0e+00",0,0,17,3,23,16034,15411,14669,"up"
"C21orf91",1901.33333333333,71,1830.33333333333,4.58797510083513,25.8454132274624,4.69183636377787,"0.0e+00","0.0e+00",0,0,75,62,76,1847,1784,1860,"up"
"C5orf51",3235.66666666667,299,2936.66666666667,5.34108113925356,9.80456039929613,3.29345294668738,"0.0e+00","0.0e+00",0,0,289,314,294,2957,2923,2930,"up"
"C7orf26",5008.66666666667,4459,549.666666666667,5.94488299109502,0.123310644215792,-3.01963075585598,"0.0e+00","0.0e+00",0,0,4562,4505,4310,555,544,550,"down"
"CA8",8898.66666666667,8545.66666666667,353,6.77687637748053,0.041311556495943,-4.59731077212064,"0.0e+00","0.0e+00",0,0,8149,8620,8868,345,391,323,"down"
"CACNA1H",3282,3173.66666666667,108.333333333333,5.3274631084428,0.0342758770644264,-4.86666260705806,"0.0e+00","0.0e+00",0,0,3325,3203,2993,112,115,98,"down"
