"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"SQOR",24293,18352.3333333333,5940.66666666667,8.33735865414083,0.323709823813471,-1.62722694635628,"2.4e-179","3.6e-175",3.62853438808473e-177,3.66481973196557e-175,18065,18059,18933,6196,5840,5786
"CD83",15252.6666666667,11563,3689.66666666667,7.66601781062698,0.319129364817351,-1.64778672999556,"4.3e-178","6.5e-174",6.44934722264017e-176,6.57833416709297e-174,11400,11372,11917,3708,3553,3808
"NFKBIB",33033,6400.33333333333,26632.6666666667,8.78068129325216,4.16121874732276,2.05700613009926,"3.7e-177","5.7e-173",5.56392176814691e-175,5.73083942119132e-173,6641,6812,5748,26985,26198,26715
"SART1",7734.66666666667,1567.66666666667,6167,6.6867908771203,3.93282864476483,1.97556732873352,"7.8e-177","1.2e-172",1.14903222998026e-174,1.19499351917948e-172,1565,1620,1518,5820,6278,6403
"TSPAN5",6426.33333333333,4992,1434.33333333333,6.41957298859695,0.287390697901286,-1.79891472866925,"4.1e-175","6.3e-171",6.01732096701599e-173,6.31818701536679e-171,4966,4995,5015,1479,1400,1424
"ESAM",9595.33333333333,8074,1521.33333333333,6.99758291975024,0.188453439524802,-2.40771996855004,"1.5e-174","2.3e-170",2.1978657647041e-172,2.32973771058634e-170,8318,8140,7764,1701,1489,1374
"HSPD1",16772.6666666667,3892.33333333333,12880.3333333333,7.80303439299737,3.30913382380441,1.7264536364782,"6.3e-174","9.6e-170",9.06597107843526e-172,9.70058905392572e-170,4047,3646,3984,12667,12863,13111
"CCDC86",10712.6666666667,2347.66666666667,8365,7.15645103693171,3.56322735778645,1.83318454002082,"5.5e-172","8.4e-168",7.80953685542253e-170,8.43429980385634e-168,2391,2378,2274,8107,8127,8861
"IL23A",1401.33333333333,1326,75.3333333333333,4.22527296510013,0.0569977655253545,-4.13295082714081,"9.4e-172","1.4e-167",1.32364429818828e-169,1.44277228502523e-167,1409,1204,1365,81,73,72
"ARL6IP5",11461.6666666667,8662.33333333333,2799.33333333333,7.25390043709616,0.323189823284528,-1.62954632417419,"5.6e-171","8.6e-167",7.84486996683846e-169,8.6293569635223e-167,8521,8525,8941,2844,2817,2737
