"name","SYMBOL","ENTREZ","s_MiaFRFP_1","s_MiaFRFP_2","s_MiaFRFP_3","s_Part1Lag_1","s_Part1Lag_2","s_Part1Lag_3"
"ENSG00000009724","MASP2",10747,8,27,4,34,24,27
"ENSG00000009780","FAM76A",199870,652,681,333,643,744,379
"ENSG00000009790","TRAF3IP3",80342,1,4,20,31,33,8
"ENSG00000009830","POMT2",29954,2318,2771,1445,1263,929,1244
"ENSG00000009844","VTA1",51534,7456,9892,2869,4532,3427,1376
"ENSG00000009950","MLXIPL",51085,616,577,1045,94,315,284
"ENSG00000009954","BAZ1B",9031,15690,18909,12394,6212,4741,2949
"ENSG00000010017","RANBP9",10048,740,973,761,1084,656,572
"ENSG00000010030","ETV7",51513,2,30,3,9,1,1
"ENSG00000010072","SPRTN",83932,2165,2243,1170,1266,952,454
"ENSG00000010165","METTL13",51603,9102,8512,7176,2140,2689,1900
"ENSG00000010219","DYRK4",8798,1331,1016,800,1444,1380,1208
"ENSG00000010244","ZNF207",7756,13290,14218,7609,8320,7561,4402
"ENSG00000010256","UQCRC1",7384,32268,27596,26834,12912,12511,11782
"ENSG00000010270","STARD3NL",83930,3775,3834,1228,3093,2346,1248
"ENSG00000010278","CD9",928,51190,48682,25899,19047,13833,20907
"ENSG00000010292","NCAPD2",9918,52865,52932,43921,7758,6328,5242
"ENSG00000010295","IFFO1",25900,15,30,1,77,84,91
"ENSG00000010310","GIPR",2696,172,149,165,11,92,27
"ENSG00000010318","PHF7",51533,1854,1690,1272,560,405,415
"ENSG00000010319","SEMA3G",56920,629,631,504,220,216,149
"ENSG00000010322","NISCH",11188,8151,7783,7997,2712,3265,2362
"ENSG00000010327","STAB1",23166,20,1,0,348,155,338
"ENSG00000010361","FUZ",80199,2462,1738,1716,963,1255,1401
"ENSG00000010379","SLC6A13",6540,28,0,20,7,12,3
"ENSG00000010404","IDS",3423,1903,1538,1342,764,1132,1258
"ENSG00000010539","ZNF200",7752,1271,1203,446,780,637,325
"ENSG00000010610","CD4",920,82,78,98,30,23,42
"ENSG00000010626","LRRC23",10233,489,301,317,540,574,551
"ENSG00000010671","BTK",695,4,12,2,452,162,151
"ENSG00000010704","HFE",3077,2186,2271,1569,1001,723,755
"ENSG00000010803","SCMH1",22955,3058,2662,2483,1139,977,746
"ENSG00000010810","FYN",2534,725,581,554,969,799,735
"ENSG00000010818","HIVEP2",3097,44,27,1,267,281,231
"ENSG00000010932","FMO1",2326,8,16,11,40,21,10
"ENSG00000011007","ELOA",6924,8906,9258,7301,2836,2357,1684
"ENSG00000011009","LYPLA2",11313,10411,8634,10852,5295,6033,6328
"ENSG00000011021","CLCN6",1185,1850,1747,1501,844,1003,492
"ENSG00000011028","MRC2",9902,8459,7666,10009,6260,8826,7899
"ENSG00000011105","TSPAN9",10867,1208,815,1107,368,756,907
"ENSG00000011114","BTBD7",55727,2552,3502,2012,1418,1696,744
"ENSG00000011132","APBA3",9546,6380,5214,6637,1998,1773,2532
"ENSG00000011143","MKS1",54903,3514,3486,2863,1141,1825,979
"ENSG00000011198","ABHD5",51099,678,760,255,642,673,275
"ENSG00000011243","AKAP8L",26993,5654,4698,5112,1964,2915,2337
"ENSG00000011258","MBTD1",54799,1052,1170,795,730,637,287
"ENSG00000011260","UTP18",51096,6831,7026,3524,2986,2855,1732
"ENSG00000011275","RNF216",54476,9300,10266,9267,3343,4146,2310
"ENSG00000011295","TTC19",54902,6618,5799,3705,3760,3409,2223
"ENSG00000011304","PTBP1",5725,92417,82531,110543,25387,28980,28800
"ENSG00000011332","DPF1",8193,343,269,309,77,95,143
"ENSG00000011347","SYT7",9066,507,486,616,44,20,54
"ENSG00000011376","LARS2",23395,5783,5529,4588,1093,881,626
"ENSG00000011405","PIK3C2A",5286,3959,6293,1387,1531,1269,309
"ENSG00000011422","PLAUR",5329,8161,6768,6743,992,468,1876
"ENSG00000011426","ANLN",54443,22933,29971,12279,5862,3401,1150
"ENSG00000011451","WIZ",58525,2423,2260,3923,770,986,1169
"ENSG00000011454","RABGAP1",23637,7413,7987,3604,2389,2321,1061
"ENSG00000011465","DCN",1634,0,46,0,504,535,170
"ENSG00000011478","QPCTL",54814,2074,1766,1656,525,777,771
"ENSG00000011485","PPP5C",5536,10987,9288,9168,3233,3855,3772
"ENSG00000011523","CEP68",23177,5783,5920,4389,2547,2449,1811
"ENSG00000011566","MAP4K3",8491,2315,2861,1017,1678,1113,499
"ENSG00000011590","ZBTB32",27033,20,9,70,21,57,30
"ENSG00000011600","TYROBP",7305,0,3,0,0,0,6
"ENSG00000011638","LDAF1",57146,936,933,571,463,563,235
"ENSG00000012048","BRCA1",672,4308,5748,2493,1235,788,361
"ENSG00000012061","ERCC1",2067,15344,11572,9899,6077,7177,9458
"ENSG00000012124","CD22",933,19,40,1,0,0,0
"ENSG00000012171","SEMA3B",7869,108,145,583,202,242,177
"ENSG00000012174","MBTPS2",51360,8374,11433,3466,4757,2784,701
"ENSG00000012211","PRICKLE3",4007,1734,1337,1471,382,384,506
"ENSG00000012223","LTF",4057,0,0,0,16,10,1
"ENSG00000012232","EXTL3",2137,5716,5677,4598,1725,2022,1369
"ENSG00000012660","ELOVL5",60481,11499,13998,4244,10460,6899,2417
"ENSG00000012779","ALOX5",240,0,0,0,87,23,89
"ENSG00000012817","KDM5D",8284,0,0,0,38,15,7
"ENSG00000012822","CALCOCO1",57658,2909,1929,1688,1289,2332,1335
"ENSG00000012963","UBR7",55148,3609,4294,2053,1406,1247,589
"ENSG00000012983","MAP4K5",11183,4267,5499,2626,2161,2192,1159
"ENSG00000013016","EHD3",30845,0,0,0,91,26,34
"ENSG00000013275","PSMC4",5704,24698,21071,19440,12026,11369,10202
"ENSG00000013288","MAN2B2",23324,4235,3945,4148,3152,2729,2235
"ENSG00000013293","SLC7A14",57709,6,0,0,10,1,0
"ENSG00000013297","CLDN11",5010,12692,14319,8644,94,113,302
"ENSG00000013306","SLC25A39",51629,44261,35739,41825,15730,19348,22792
"ENSG00000013364","MVP",9961,8573,6223,7377,10676,8880,6631
"ENSG00000013374","NUB1",51667,4636,4843,3146,4473,2003,1328
"ENSG00000013375","PGM3",5238,2720,3040,1043,2609,1738,677
"ENSG00000013392","RWDD2A",112611,474,439,183,373,342,170
"ENSG00000013441","CLK1",1195,648,791,239,5108,5150,1100
"ENSG00000013503","POLR3B",55703,1477,1594,910,722,584,225
"ENSG00000013523","ANGEL1",23357,8610,8026,7084,3108,2085,1831
"ENSG00000013561","RNF14",9604,6207,8282,3610,4639,3601,1574
"ENSG00000013563","DNASE1L1",1774,1400,1327,1641,676,644,685
"ENSG00000013573","DDX11",1663,4823,4676,4606,1463,2046,1142
"ENSG00000013583","HEBP1",50865,10888,9796,7001,2179,1400,1705
"ENSG00000013588","GPRC5A",9052,289290,290749,217820,8717,362,2212
"ENSG00000013619","MAMLD1",10046,724,759,841,226,222,691
"ENSG00000013725","CD6",923,0,1,1,0,9,3
"ENSG00000013810","TACC3",10460,16225,14651,19455,3796,2824,2651
"ENSG00000014123","UFL1",23376,2538,3205,1199,2381,1687,728
"ENSG00000014138","POLA2",23649,845,852,789,407,436,283
"ENSG00000014164","ZC3H3",23144,8222,7600,10534,1661,1657,1750
"ENSG00000014216","CAPN1",823,25773,20832,25624,8428,8069,9010
"ENSG00000014257","ACP3",55,8,5,0,46,43,27
"ENSG00000014641","MDH1",4190,28689,29462,13668,19871,14711,8080
"ENSG00000014824","SLC30A9",10463,6953,9578,2844,5601,3759,1252
"ENSG00000014914","MTMR11",10903,1731,1447,891,744,1018,1004
"ENSG00000014919","COX15",1355,3481,4133,1879,1669,1273,630
"ENSG00000015133","CCDC88C",440193,1134,909,1472,768,434,287
"ENSG00000015153","YAF2",10138,179,275,124,420,259,153
"ENSG00000015171","ZMYND11",10771,5374,6892,2842,3621,2214,1198
"ENSG00000015285","WAS",7454,25,37,43,169,78,118
"ENSG00000015413","DPEP1",1800,40,44,42,27,78,281
"ENSG00000015475","BID",637,13205,10616,9531,6417,6448,5450
"ENSG00000015479","MATR3",9782,189,150,169,185,302,139
"ENSG00000015532","XYLT2",64132,7540,6013,6562,2091,1637,3000
"ENSG00000015568","RGPD5",84220,116,129,60,64,55,38
"ENSG00000015592","STMN4",81551,0,0,0,7,19,14
"ENSG00000015676","NUDCD3",23386,16861,16566,11589,5872,6773,4635
"ENSG00000016391","CHDH",55349,87,46,64,77,25,50
"ENSG00000016402","IL20RA",53832,10,0,0,46,1,0
"ENSG00000016864","GLT8D1",55830,3989,4189,1851,2861,2712,1286
"ENSG00000017260","ATP2C1",27032,6482,7884,3049,4137,2732,1152
"ENSG00000017427","IGF1",3479,3,0,0,77,107,40
"ENSG00000017483","SLC38A5",92745,0,0,0,7,39,162
"ENSG00000017797","RALBP1",10928,10130,9632,8969,4033,4616,3915
"ENSG00000018189","RUFY3",22902,1037,1172,889,1226,1060,488
"ENSG00000018280","SLC11A1",6556,45,22,67,592,318,422
"ENSG00000018408","WWTR1",25937,20701,22316,13679,7029,4765,2838
"ENSG00000018510","AGPS",8540,6775,9499,3207,5070,2870,882
"ENSG00000018610","STEEP1",63932,2375,2252,1548,1177,993,661
"ENSG00000018625","ATP1A2",477,18,0,0,129,113,33
"ENSG00000018699","TTC27",55622,4198,4809,2292,1820,2188,705
"ENSG00000018869","ZNF582",147948,4,20,0,17,55,6
"ENSG00000019102","VSIG2",23584,0,1,10,0,3,9
"ENSG00000019144","PHLDB1",23187,4188,4388,6199,1075,1414,1453
"ENSG00000019186","CYP24A1",1591,0,1,3,2,2,8
"ENSG00000019485","PRDM11",56981,367,244,518,250,492,358
"ENSG00000019549","SNAI2",6591,2235,2638,1350,1198,1270,2216
"ENSG00000019582","CD74",972,162,143,97,10890,2682,2004
"ENSG00000019991","HGF",3082,12,3,0,196,68,43
"ENSG00000019995","ZRANB1",54764,1109,1263,650,535,733,188
"ENSG00000020129","NCDN",23154,5995,5750,9727,2169,3716,3706
"ENSG00000020181","ADGRA2",25960,802,830,1478,73,98,101
"ENSG00000020256","ZFP64",55734,4360,3845,4210,1549,1814,1659
"ENSG00000020426","MNAT1",4331,1762,2053,771,1486,999,619
"ENSG00000020577","SAMD4A",23034,1633,1140,1866,717,511,305
"ENSG00000020633","RUNX3",864,0,0,0,138,80,182
"ENSG00000020922","MRE11",4361,2757,4217,1227,1384,1086,271
"ENSG00000021300","PLEKHB1",58473,1,6,50,69,362,11
"ENSG00000021355","SERPINB1",1992,7471,6939,3198,3529,2668,2131
"ENSG00000021461","CYP3A43",64816,0,13,0,5,2,7
"ENSG00000021488","SLC7A9",11136,12,6,24,1,5,47
"ENSG00000021574","SPAST",6683,1573,2182,936,1308,1468,512
"ENSG00000021762","OSBPL5",114879,2464,1891,2510,377,393,355
"ENSG00000021776","AQR",9716,9704,12781,5454,3915,2329,654
"ENSG00000021826","CPS1",1373,1080,1478,683,453,235,213
"ENSG00000022267","FHL1",2273,3106,2805,1694,1123,1644,2432
"ENSG00000022277","RTF2",51507,10540,8644,6454,4927,5294,4523
"ENSG00000022355","GABRA1",2554,0,7,0,1,13,0
