"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","29/1009","174/8542",0.166666666666667,1.41096795507103,2.004415295366,0.0340607172237772,0.210093612253118,0.181423415560525,"SMAD3/FOSL1/VANGL1/NKD2/LRP5/FZD7/NFATC1/CSNK2A1/NOTUM/RSPO1/CCAR2/CTBP2/CHD8/TBL1X/WNT2B/INVS/BTRC/ZNRF3/PRKCA/NKD1/NFATC3/AXIN1/DVL1/FZD3/CSNK2A3/ROR1/PRICKLE3/PLCB3/APC2",29
"hsa01210","Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","8/1009","33/8542",0.242424242424242,2.05231702555786,2.21656394883757,0.0345962535147351,0.210093612253118,0.181423415560525,"DHTKD1/GOT2/CS/ACO2/GPT2/OGDH/OGDHL/DBT",8
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","12/1009","58/8542",0.206896551724138,1.75154642698472,2.10177122363215,0.035998421231305,0.214704869486712,0.185405402582285,"NT5E/CAD/UCK2/CTPS1/TYMS/NT5C2/NT5C1A/RRM2/RRM1/CANT1/ENTPD6/DPYD",12
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","33/1009","205/8542",0.160975609756098,1.36278856148324,1.92416174339975,0.0389286078271812,0.228107982706641,0.196979474508729,"PXN/MAD1L1/CREB3L3/CREB3L1/DLG1/CDC20/ACTN1/CDK2/DDB1/TRAF1/PIK3CD/DNAJA3/HDAC9/CCR3/NFKB1/HDAC1/NFKB2/RBL2/TRAF3/SRC/HDAC4/SCRIB/CCNA2/VAC14/ACTN4/GTF2H3/PKM/UBR4/STAT5B/RBL1/SKP2/HDAC7/TRAF2",33
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","12/1009","60/8542",0.2,1.69316154608523,1.97186379556012,0.0454344658621301,0.257436449610993,0.222305664019578,"PXN/MAPKAPK3/PIK3CD/AKT3/PLCG1/PTK2/SRC/PRKCA/MAP2K2/MAPK12/AKT1/SPHK1",12
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","15/1009","80/8542",0.1875,1.58733894945491,1.9315824259686,0.0457673557380961,0.257436449610993,0.222305664019578,"ERBB3/PIK3CD/AKT3/PLCG1/SRC/MTOR/FGFR2/SHC1/PRKCA/MAP2K2/ERBB2/AKT1/BCL2L1/SHC4/EGFR",15
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","6/1009","23/8542",0.260869565217391,2.2084715818503,2.123841053137,0.0462460687923939,0.257436449610993,0.222305664019578,"CAD/GOT2/GPT2/GLUD1/ASS1/CPS1",6
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","24/1009","144/8542",0.166666666666667,1.41096795507103,1.82019212313658,0.0503868419226939,0.273310026432358,0.236013070414327,"MAP3K5/ITPR3/AFG3L2/PIK3CD/AMBRA1/AKT3/PPIF/VLDLR/GRIN2D/MTOR/SP1/GRIN3B/ATG13/ATXN2/TWNK/PIK3R4/PRKCA/TRAF2/ATXN2L/AKT1/OPA1/RB1CC1/BEAN1/PLCB3",24
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","10/1009","48/8542",0.208333333333333,1.76370994383878,1.94181967002194,0.0507341965233718,0.273310026432358,0.236013070414327,"ALDH1B1/IL4I1/ALDH6A1/IVD/ALDH7A1/ACSF3/AOX1/MCCC2/ACADSB/DBT",10
"hsa00061","Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","5/1009","18/8542",0.277777777777778,2.35161325845171,2.10079142301555,0.0525264326358884,0.278473468260107,0.240471888759121,"ACACA/ACSF3/ACACB/ACSL1/ACSL4",5
